0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:39 +0700] "GET /assets/vendor/js/helpers.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:39 +0700] "GET /assets/vendor/js/bootstrap.js HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:39 +0700] "GET /assets/vendor/libs/popper/popper.js HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:39 +0700] "GET /assets/vendor/libs/jquery/jquery.js HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:39 +0700] "GET /assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.js HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:39 +0700] "GET /assets/js/main.js HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:39 +0700] "GET /assets/vendor/js/menu.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:39 +0700] "GET /assets/img/favicon/favicon.ico HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:44 +0700] "GET /DonationInUniversity/register HTTP/1.1" 200 10489
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:44 +0700] "GET /assets/vendor/fonts/boxicons.css HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:44 +0700] "GET /assets/vendor/css/theme-default.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:44 +0700] "GET /assets/vendor/css/core.css HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:44 +0700] "GET /assets/css/demo.css HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:44 +0700] "GET /assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:44 +0700] "GET /assets/vendor/css/pages/page-auth.css HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:44 +0700] "GET /assets/vendor/js/helpers.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:44 +0700] "GET /assets/js/config.js HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:44 +0700] "GET /assets/vendor/js/bootstrap.js HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:44 +0700] "GET /assets/vendor/libs/popper/popper.js HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:44 +0700] "GET /assets/vendor/libs/jquery/jquery.js HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:44 +0700] "GET /assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.js HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:44 +0700] "GET /assets/vendor/js/menu.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:44 +0700] "GET /assets/js/main.js HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:45 +0700] "GET /DonationInUniversity/forgot_password HTTP/1.1" 200 9137
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:45 +0700] "GET /assets/vendor/fonts/boxicons.css HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:45 +0700] "GET /assets/vendor/css/core.css HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:45 +0700] "GET /assets/css/demo.css HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:45 +0700] "GET /assets/vendor/css/theme-default.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:45 +0700] "GET /assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:45 +0700] "GET /assets/vendor/css/pages/page-auth.css HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:45 +0700] "GET /assets/vendor/js/helpers.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:45 +0700] "GET /assets/js/config.js HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:45 +0700] "GET /assets/vendor/libs/popper/popper.js HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:45 +0700] "GET /assets/vendor/js/bootstrap.js HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:45 +0700] "GET /assets/vendor/libs/jquery/jquery.js HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:45 +0700] "GET /assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.js HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:45 +0700] "GET /assets/vendor/js/menu.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:45 +0700] "GET /assets/js/main.js HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:17:31 +0700] "GET /DonationInUniversity/login HTTP/1.1" 200 10401
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:17:31 +0700] "GET /assets/vendor/fonts/boxicons.css HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:17:31 +0700] "GET /assets/vendor/css/core.css HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:17:31 +0700] "GET /assets/css/demo.css HTTP/1.1" 404 701
